sequencial,nome,sigla,cod_mun,mun,sexo,raca,votos,total_votos,gastos,bens
10000000922,"MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA SILVA",PT,01392,"RIO BRANCO",MASCULINO,BRANCA,104311,190119,19102.57,485000
10000000949,"ILDERLEI SOUZA RODRIGUES CORDEIRO",PMDB,01074,"CRUZEIRO DO SUL",MASCULINO,PARDA,18119,38877,2500,28000000
10000001061,"ABÍLIO RODRIGUES BARBOSA NETO",PMDB,01023,"PORTO ACRE",MASCULINO,PARDA,970,9793,0,400000
10000001075,"DJALMA PESSOA DE OLIVEIRA",PP,01120,ACRELÂNDIA,MASCULINO,PARDA,1545,7169,3280,973500
10000001120,"HENRIQUE AFONSO SOARES LIMA",PSDB,01074,"CRUZEIRO DO SUL",MASCULINO,BRANCA,9292,38877,0,707197.64
10000001147,"JOSE MARIA RODRIGUES",PT,01023,"PORTO ACRE",MASCULINO,PRETA,1154,9793,0,30000
10000001187,"FERNANDA DE SOUZA HASSEM CESAR",PT,01058,BRASILÉIA,FEMININO,PARDA,6819,12832,10115,366595
10000001231,"ELIANE PEREIRA SINHASIQUE",PMDB,01392,"RIO BRANCO",FEMININO,PARDA,60871,190119,0,325565.92000000004
10000001277,"ROSIMARI FERREIRA DA SILVA",PSD,01112,EPITACIOLÂNDIA,FEMININO,PARDA,1549,8643,0,200000
10000001284,"AGRECINO DE SOUSA",PDT,01120,ACRELÂNDIA,MASCULINO,BRANCA,886,7169,0,145000
10000001357,"SEBASTIÃO SOUZA CORREIA",PMDB,01082,"RODRIGUES ALVES",MASCULINO,BRANCA,5007,8518,0,1144973.72
10000001407,"DANIEL NOGUEIRA DA SILVA",PP,01023,"PORTO ACRE",MASCULINO,PARDA,3227,9793,24013.5,80000
10000001438,"JOSÉ ESTEPHAN BARBARY FILHO",PMDB,01066,"PORTO WALTER",MASCULINO,PARDA,3091,4593,0,500000
10000001484,"JAILSON EUGENIO DE SOUZA",PSOL,01082,"RODRIGUES ALVES",MASCULINO,BRANCA,348,8518,0,54000
10000001523,"KIEFER ROBERTO CAVALCANTE LIMA",PP,01139,FEIJÓ,MASCULINO,PARDA,6558,13965,11.6,345000
10000001618,"ISAAC DA SILVA PIYÃKO",PMDB,01040,"MARECHAL THAUMATURGO",MASCULINO,INDÍGENA,4094,7244,0,80000
10000001672,"JOSÉ CLAUDINEI RABELO MARTINS",PRB,01538,"SENADOR GUIOMARD",MASCULINO,PARDA,1993,14002,4753.5,0
10000001697,"ELSON DE LIMA FARIAS","PC do B",01104,JORDÃO,MASCULINO,PARDA,2012,3646,0,110000
10000001698,"HAMMERLY DA SILVA ALBUQUERQUE",PT,01139,FEIJÓ,MASCULINO,BRANCA,4532,13965,0,170000
10000001721,"AILSON MAGALHÃES MENDONÇA",DEM,01490,XAPURI,MASCULINO,PARDA,3061,9312,15800,180000
10000001752,"JOSÉ ALTANÍZIO TAUMATURGO SÁ",PMDB,01554,"MANOEL URBANO",MASCULINO,PARDA,2167,4952,0,2188000
10000001792,"JOSÉ MARCIO SILVA DE QUEIROZ",PROS,01082,"RODRIGUES ALVES",MASCULINO,PARDA,3163,8518,0,250000
10000001848,"ANTONIO BARBOSA DE SOUSA",PSDB,01570,"ASSIS BRASIL",MASCULINO,PARDA,2324,4419,0,160000
10000001880,"ROMUALDO DE SOUZA ARAUJO","PC do B",01007,BUJARI,MASCULINO,PARDA,1853,6204,0,185000
10000001900,"WILSILENE GADELHA SIQUEIRA",PP,01090,"MÂNCIO LIMA",FEMININO,BRANCA,4024,9566,0,159000
10000001938,"CARLA IVANE DE BRITTO",PSB,01074,"CRUZEIRO DO SUL",FEMININO,PARDA,11466,38877,3699,0
10000001939,"JOÃO SEBASTIÃO FLORES DA SILVA",PSB,01112,EPITACIOLÂNDIA,MASCULINO,PARDA,4068,8643,14900,1060000
10000002004,"GEDEON SOUSA BARROS",PSDB,01511,"PLÁCIDO DE CASTRO",MASCULINO,PARDA,4864,10180,0,351000
10000002021,"ISAAC DE SOUZA LIMA",PT,01090,"MÂNCIO LIMA",MASCULINO,PARDA,5390,9566,0,518900
10000002079,"PEDRO RODRIGUES CAVALCANTE NETO",PMDB,01139,FEIJÓ,MASCULINO,BRANCA,2875,13965,0,60000
10000002100,"FRANCISCA SILVA DE MOURA LIMA",PRB,01120,ACRELÂNDIA,FEMININO,PARDA,259,7169,0,0
10000002141,"RAIMUNDO VAZ DE AZEVEDO",PR,01392,"RIO BRANCO",MASCULINO,PARDA,9202,190119,0,315000
10000002172,"MARIA RAIMUNDA RODRIGUES PINHEIRO MENEZES",PSDB,01538,"SENADOR GUIOMARD",FEMININO,BRANCA,4163,14002,563,477000
10000002214,"IZAUTE BARROSO DE SOUZA",PT,01554,"MANOEL URBANO",MASCULINO,PARDA,1707,4952,0,135000
10000002300,"CARLOS GOMES DA COSTA SOUZA",REDE,01392,"RIO BRANCO",MASCULINO,PARDA,15735,190119,0,0
10000002320,"CLOVIS ALVES DE MELO E SILVA",PT,01007,BUJARI,MASCULINO,PARDA,1145,6204,0,35000
10000002321,"ALDEMIR DA SILVA LOPES",PT,01040,"MARECHAL THAUMATURGO",MASCULINO,PARDA,3150,7244,0,150000
10000002340,"FRANCISCO UBIRACY MACHADO DE VASCONCELOS",PT,01490,XAPURI,MASCULINO,PARDA,3854,9312,2104,60000
10000002360,"MANOEL PRETTE",PSDB,01058,BRASILÉIA,MASCULINO,BRANCA,6013,12832,0,1120703.94
10000002377,"OTAVIO GUIMARAES VAREDA",PR,01015,CAPIXABA,MASCULINO,PARDA,880,6155,0,122500
10000002445,"EDERALDO CAETANO DE SOUSA",PSB,01120,ACRELÂNDIA,MASCULINO,BRANCA,3852,7169,0,600000
10000002447,"FRANCISCO CHAGAS DE SOUZA BESSA",PMDB,01007,BUJARI,MASCULINO,PRETA,1038,6204,0,11000
10000002465,"JOÃO FRANCISCO FERREIRA",PEN,01090,"MÂNCIO LIMA",MASCULINO,INDÍGENA,152,9566,0,75000
10000002469,"MARCOS FERNANDO SILVA",PT,01112,EPITACIOLÂNDIA,MASCULINO,PARDA,3026,8643,0,165000
10000002509,"ARISTON DE SOUZA JARDIM",PSDB,01120,ACRELÂNDIA,MASCULINO,PARDA,627,7169,0,0
10000002513,"VANDERLEY VIANA DE LIMA",PROS,01490,XAPURI,MASCULINO,PARDA,535,9312,0,0
10000002558,"RODRIGO DAMASCENO CATÃO",PT,01473,TARAUACÁ,MASCULINO,BRANCA,7572,17903,1500,0
